id,countryf,X_st,X_d,X_t,h0,lastyear,year,ccode,lmtnest,ncontig,relfrac,ethfrac,lpopl,lgdpl,unpko,writconst,comprehensive,terr,victory,intensityln,renewed_war,democpolityl,autocpolityl,instabl,writconstl,idmultiple,yearspeace,freepressfhlr,vhpartl1,fhcompor1,X_t0
137,Afghanistan,1,0,1,0,0,2002,700,4.1987047,0,0.27179998,0.65828097,10.031089,5.7510343,0,1,1,0,1,10.107494,0,0,2,0,0,137,1,-95,0.41990003,-1.1666666,0
137,Afghanistan,1,0,2,0,0,2003,700,4.1987047,0,0.27179998,0.65828097,10,6.2903972,0,1,1,0,1,10.107494,0,0,7,0,1,137,2,-74,0.41990003,-1.1666666,1
137,Afghanistan,1,0,3,0,0,2004,700,4.1987047,0,0.27179998,0.65828097,3,6.3573537,0,1,1,0,1,10.107494,0,0,7,0,1,137,3,-74,0.39680001,-1.0833334,2
137,Afghanistan,1,1,4,0,1,2005,700,4.1987047,0,0.27179998,0.65828097,10.031089,6.4026365,0,1,1,0,1,10.107494,1,0,7,0,1,137,4,-72,0.41990003,-1,3
131,Angola,1,0,1,0,0,2003,540,2.3702438,1,0.61220002,0.78328174,9.4944439,8.0038118,0,1,0,0,0,8.4658995,0,1,4,0,1,131,1,-79,0.059499998,-1.0833334,0
131,Angola,1,0,2,0,0,2004,540,2.3702438,1,0.61220002,0.78328174,9.5257864,7.9801435,0,1,0,0,0,8.4658995,0,3,1,0,1,131,2,-72,0,-1.0833334,1
131,Angola,1,0,3,0,0,2005,540,2.3702438,1,0.61220002,0.78328174,9.5565376,8.0413609,0,1,0,0,0,8.4658995,0,3,1,1,1,131,3,-66,0,-1.0833334,2
131,Angola,1,0,4,0,0,2006,540,2.3702438,1,0.61220002,0.78328174,9.5859804,8.2073059,0,1,0,0,0,8.4658995,0,3,1,1,1,131,4,-66,0,-1.0833334,3
131,Angola,1,0,5,0,0,2007,540,2.3702438,1,0.61220002,0.78328174,9.6139593,8.3649445,0,1,0,0,0,8.4658995,0,3,1,1,1,131,5,-65,0.36790001,-1.0833334,4
131,Angola,1,0,6,0,0,2008,540,2.3702438,1,0.61220002,0.78328174,9.6408339,8.5402212,0,1,0,0,0,8.4658995,0,3,1,0,1,131,6,-62,0.059499998,-1.0833334,5
131,Angola,1,0,7,0,1,2009,540,2.3702438,1,0.61220002,0.78328174,9.667038,8.6520205,0,1,0,0,0,8.4658995,0,3,1,0,1,131,7,-63,0.48310003,-1.0833334,6
50,Argentina,1,0,2,0,0,1977,160,3.3809946,0,0.1512,0.30731916,10.183314,9.3500633,0,1,0,0,0,7.1954374,0,0,7,0,1,50,2,-34,0,-1.1666666,0
50,Argentina,1,0,3,0,0,1978,160,3.3809946,0,0.1512,0.30731916,10.198468,9.401123,0,1,0,0,0,7.1954374,0,0,7,0,1,50,3,-34,0,-1.0833334,2
50,Argentina,1,0,4,0,0,1979,160,3.3809946,0,0.1512,0.30731916,10.213396,9.363102,0,1,0,0,0,7.1954374,0,0,7,0,1,50,4,-30,0,-1.0833334,3
50,Argentina,1,0,5,0,0,1980,160,3.3809946,0,0.1512,0.30731916,10.228285,9.4068356,0,1,0,0,0,7.1954374,0,0,7,0,1,50,5,-34,0,-1.0833334,4
50,Argentina,1,0,6,0,0,1981,160,3.3809946,0,0.1512,0.30731916,10.243311,9.4023161,0,1,0,0,0,7.1954374,0,0,7,0,1,50,6,-30,0,-0.66666669,5
50,Argentina,1,0,7,0,0,1982,160,3.3809946,0,0.1512,0.30731916,10.258536,9.3342409,0,1,0,0,0,7.1954374,0,0,7,0,1,50,7,-35,0,-0.66666669,6
50,Argentina,1,0,8,0,0,1983,160,3.3809946,0,0.1512,0.30731916,10.273878,9.2935047,0,1,0,0,0,7.1954374,0,0,7,0,1,50,8,-35,0,-0.5,7
50,Argentina,1,0,9,0,0,1984,160,3.3809946,0,0.1512,0.30731916,10.289158,9.3180885,0,1,0,0,0,7.1954374,0,0,7,0,1,50,9,-30,0.49880001,-0.5,8
50,Argentina,1,0,10,0,0,1985,160,3.3809946,0,0.1512,0.30731916,10.304241,9.3239641,0,1,0,0,0,7.1954374,0,0,7,0,1,50,10,-30,0.49880001,-0.41666666,9
